=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
BETA;2;11515;13409;12548,6;10;5364,76;
BETA;3;11788;14394;12958,5;10;5767,38;
BETA;4;11596;14644;12981;10;5761,81;
BETA;5;11605;13806;12835,6;10;5732,71;
BETA;10;11916;14261;13052,2;10;5802,83;
P_0;0,01;11907;14240;13177,7;10;5750,42;
P_0;0,025;11596;14928;13012,1;10;5898,38;
P_0;0,05;11596;14098;12865,7;10;6104,93;
P_0;0,1;11023;13465;12370;10;6011,82;
P_0;0,2;11126;14528;12931,1;10;6153,74;
P_0;0,3;12150;15338;13435,1;10;6222,48;
NUM_ANTS;30;11045;14090;12726,2;10;1795,72;
NUM_ANTS;40;11619;13844;12918,1;10;1681,3;
NUM_ANTS;50;12536;14098;13451,1;10;2044,96;
NUM_ANTS;75;11433;14128;12702,3;10;3041,57;
NUM_ANTS;100;11870;14366;13323,3;10;4038,32;
NUM_ANTS;150;11025;13855;13066;10;5893,08;
Q;10;12100;13903;12898,2;10;3139,97;
Q;50;12499;13890;13156,4;10;3154,87;
Q;100;11338;13241;12297,1;10;3169,38;
Q;250;12211;13477;12989,4;10;3121,07;
Q;500;11748;14069;13081,8;10;3157,46;
Q;750;10957;13887;12895,2;10;3144,08;
Q;1000;11043;13492;12668,2;10;3167,51;
Q;1500;11927;14060;13119,6;10;3143,48;
RHO;0,1;11374;14167;12853,1;10;3148,62;
RHO;0,3;11098;13959;12647,7;10;3108,31;
RHO;0,5;11025;14003;13035,2;10;3122,1;
